,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8,Asset9,Asset10,Asset11,Asset12,Asset13,Asset14,Asset15,Asset16
2001-10-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2001-10-10,103.58332742610052,101.68187178054987,103.11343708218028,101.11820341983879,101.65830582486419,101.7174275653302,100.91522157996147,102.59319986192614,103.51224105461394,102.5354714129796,99.19,100.59209724326489,102.32230143549913,102.17216366315311,101.57057714528979,102.2683012778901
2001-10-11,109.40667753597505,102.08527276112456,106.66339860389914,100.2795508549597,100.70179086632183,103.01476493482424,99.32027403125669,105.09578874697964,103.08851224105462,105.86852489295609,99.74,100.34132664611742,104.04760524739658,102.92870905587668,101.89100225019764,103.66860173971106
2001-10-12,110.30339547742255,101.74393346986905,105.29401876496377,99.08680054046499,101.02669404517454,101.5228269599061,98.07856989937915,104.25871591301346,103.14030131826742,105.23885484006381,99.48,99.52806366786827,103.32309356826832,102.53371868978806,101.09925196132092,103.28282359923587
2001-10-15,109.11249734174525,100.74474027183021,105.2646742172196,98.71406606718539,102.14436098042783,102.39389633656637,97.1312352815243,104.30617880566103,100.97457627118644,104.44127277306691,100.0,100.47855388955644,102.92123109024517,102.27671993652952,101.04983883719515,103.34773819018122
2001-10-16,111.10796058694265,102.79277601936325,105.85486886290849,98.5230396496296,102.25092922309152,103.95070117995922,95.64333119246413,104.30617880566103,101.90207156308851,105.39837125346318,98.37,101.30540027515107,103.8737224444058,102.94599342627222,101.94117557623305,103.84850789175955
2001-10-17,106.13879634224143,101.82461366598399,102.46678819066572,97.91734613055026,101.6713019520183,103.11052078828689,94.69064440162705,101.59647911632725,101.2758945386064,103.65208630677525,97.24,99.35391741984918,102.12523425877625,101.41646832143262,100.64199051268017,101.73971103733516
2001-10-18,106.28765860920112,98.68429218643331,101.47558378159884,98.50906210688161,101.04228939775946,102.10045097918082,93.12780989081567,101.3548498446669,98.16854990583803,102.98883385106204,96.78,98.85899378297894,100.43277497633262,100.79338093618951,99.57086602201544,101.75454865812267
2001-10-19,107.77273693910826,100.11791720970645,102.94276258511863,99.91613474351209,101.52834455332311,100.91431395564341,92.95118818240205,101.39799792889197,98.62994350282486,102.4263286038116,94.28,99.42949689148946,100.49073591066288,101.53972571687635,100.27063187982728,102.58545542222305
2001-10-22,110.64365208761608,98.87668342332279,103.78389198097075,100.95979126869497,103.50635510617835,103.56458886760981,91.28666238492828,102.7053848809113,100.02824858757062,105.10452522878012,91.84,100.22534524493669,101.98612801638362,103.17267369375497,101.19237669525026,104.19162787247066
2001-10-23,110.44871340469271,96.93415254763235,104.57745794595938,100.4705772725155,101.8636446338991,103.56458886760981,89.24213230571613,102.29979288919573,99.77871939736346,105.6502392746201,91.35,99.3803876495481,101.87213817886743,102.5552533151989,100.58763607614182,103.36813991876404
2001-10-24,113.1530445877933,93.48972879041767,103.67870829576195,100.10716116106789,101.53354300418475,103.48118860814233,89.42410618711196,102.58888505350363,98.80414312617702,105.28083284358996,88.23,98.92725911220244,101.45868351397824,102.50736710869319,100.18548926594903,103.82254205538143
2001-10-25,116.44928049904303,95.61223856513375,104.87891973197351,100.57307925266738,101.84025160502169,105.02563785754,89.32241490044959,104.25440110459095,100.71092278719397,105.9272940978927,89.04,99.70429967086359,102.88645452964701,103.2599455967358,100.99168339110868,105.21542370680862
2001-10-26,115.33281349684553,94.97920933407808,105.64858252230962,101.16013604808275,101.59072596366282,105.53839500834002,90.28580603725112,106.04504659993097,102.71186440677965,106.99353538745697,88.59,100.19991989272592,103.70756776599238,103.14405530998526,101.68954874414644,105.28219300035241
2001-10-29,109.89579641312824,94.9543846583504,102.14982820807812,100.06056935190794,100.81615678527798,102.58540804349168,89.65424962534789,102.59319986192614,102.14689265536722,105.10452522878012,90.57,98.70504849973007,101.3099171158639,101.42978578714722,100.5142765918628,102.70601109112155
2001-10-30,107.54944353866875,93.16700800595792,99.82577889369112,99.33373712901272,99.61011618537675,101.6587384938531,87.54014129736673,100.37107352433553,99.05367231638418,103.70245991100663,91.9,97.30142974069624,99.42425471898606,100.05213646152103,99.31847898801921,101.07943691229111
2001-10-31,108.93528035726946,93.98001613603923,101.08730294456018,99.10077808321297,98.92651989707066,100.55909062828195,86.9246414044102,100.58681394546083,98.64406779661017,102.56905381580052,92.68,97.40626578200371,99.1267219227574,99.87447580188143,99.36637170832573,101.35022349166313
